voxel/serie,z,y,x
70383,25,49,27
70384,25,49,28
70385,25,49,29
70386,25,49,30
70387,25,49,31
70388,25,49,32
70389,25,49,33
70413,25,50,13
70414,25,50,14
70415,25,50,15
70417,25,50,17
70418,25,50,18
70419,25,50,19
70420,25,50,20
70421,25,50,21
70425,25,50,25
70426,25,50,26
70427,25,50,27
70428,25,50,28
70429,25,50,29
70430,25,50,30
70431,25,50,31
70462,25,51,18
70463,25,51,19
70464,25,51,20
70465,25,51,21
70469,25,51,25
70470,25,51,26
70471,25,51,27
70472,25,51,28
70507,25,52,19
70508,25,52,20
70509,25,52,21
70513,25,52,25
70514,25,52,26
70515,25,52,27
70557,25,53,25
70558,25,53,26
